TO,IC
3179,2402
4393,3687
5672,4939
6900,6180
8161,7438
9392,8699
10636,9914
11859,11142
13084,12376
14304,13597
15491,14796
16708,16007
17895,17215
19114,18427
20314,19635
21507,20822
22669,22006
23846,23161
25013,24330
26194,25511
27376,26696
28560,27866
29704,29036
30869,30200
32032,31367
33225,32546
34404,33740
35582,34916
36766,36081
37937,37265
39082,38430
40239,39573
41388,40724
42575,41890
43762,43074
44901,44238
46035,45382
47194,46532
48362,47685
49507,48843
50659,50000
51780,51151
52925,52279
54077,53423
55215,54552
56351,55699
57508,56848
58666,57985
