TO,IC
2667,1969
3870,3188
5078,4379
6258,5590
7376,6717
8493,7857
9614,8984
10770,10120
11933,11261
13082,12438
14118,13545
15161,14580
16218,15615
17271,16676
18334,17737
19408,18792
20481,19872
21570,20948
22645,22031
23628,23107
24589,24059
25563,25037
26531,25986
27506,26957
28515,27948
29501,28958
30479,29937
31475,30922
32463,31913
33457,32912
34439,33882
35559,34930
36616,36009
37704,37073
38818,38186
39907,39287
41001,40380
42100,41485
43204,42567
44343,43677
45643,44855
47017,46195
48318,47569
49613,48878
50879,50143
52203,51421
